FLIGHT_ID,DATETIME,AIRLINE_CODE,ORIGIN_IATA,DEST_IATA,DISTANCE,TOTAL_DELAY,CANCELLATION_REASON,AIR_SYSTEM_DELAY,WEATHER_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY
72,2015-08-21,WN,LAS,SMF,397,2.0,,False,False,False,False,False
73,2015-09-26,DL,PDX,JFK,2454,2.0,,False,False,False,False,False
74,2015-07-11,WN,BNA,JAX,483,6.0,,False,False,False,False,False
75,2015-12-28,AA,LAX,DFW,1235,189.0,,False,False,False,True,False
76,2015-04-13,WN,PHX,ONT,325,0.0,,False,False,False,False,False
77,2015-06-03,WN,CHS,MDW,745,28.0,,False,False,False,False,False
78,2015-01-03,EV,MLU,ATL,448,12.0,,False,False,False,False,False
79,2015-07-20,WN,OKC,LAS,986,21.0,,False,False,False,False,False
80,2015-11-14,AS,PDX,SEA,129,0.0,,False,False,False,False,False
81,2015-11-29,WN,ATL,RIC,481,0.0,,False,False,False,False,False
82,2015-11-12,DL,MEM,DTW,610,22.0,,False,False,False,False,False
83,2015-08-30,DL,ATL,GRR,640,10.0,,False,False,False,False,False
84,2015-12-29,AA,MIA,MCO,192,8.0,,False,False,False,False,False
85,2015-12-21,DL,ATL,JAX,270,5.0,,False,False,False,False,False
86,2015-08-13,DL,HSV,ATL,151,0.0,,False,False,False,False,False
87,2015-04-22,OO,PSP,SFO,421,0.0,,False,False,False,False,False
88,2015-04-16,OO,PSP,LAX,110,32.0,,False,False,False,False,False
89,2015-06-22,AA,ORD,SFO,1846,18.0,,False,False,False,False,False
90,2015-04-19,OO,SFO,EUG,451,0.0,,False,False,False,False,False
91,2015-07-20,EV,BNA,IAH,657,0.0,,False,False,False,False,False
92,2015-09-26,MQ,BMI,DFW,690,0.0,,False,False,False,False,False
93,2015-11-10,AA,BWI,CLT,361,0.0,,False,False,False,False,False
94,2015-09-24,B6,JAX,JFK,828,0.0,,False,False,False,False,False
95,2015-07-25,AS,BOS,SEA,2496,0.0,,False,False,False,False,False
96,2015-12-28,EV,JAN,IAH,351,23.0,,True,False,False,True,True
97,2015-06-03,DL,EYW,ATL,646,1615.0,,False,False,False,False,False
98,2015-01-01,B6,SJU,MCO,1189,1.0,,False,False,False,False,False
99,2015-09-24,AA,EWR,CLT,529,0.0,,False,False,False,False,False
100,2015-03-27,AA,SNA,DFW,1205,0.0,,False,False,False,False,False
101,2015-03-25,EV,ATL,IAH,689,0.0,,False,False,False,False,False
102,2015-01-27,AA,BOS,ORD,867,1615.0,Weather,False,False,False,False,False
103,2015-07-28,MQ,AZO,ORD,122,0.0,,False,False,False,False,False
104,2015-02-20,OO,SFO,BFL,238,50.0,,True,False,False,False,True
105,2015-05-27,HA,LIH,HNL,102,38.0,,False,True,False,False,True
106,2015-09-21,WN,TPA,SAT,972,1.0,,False,False,False,False,False
107,2015-04-17,WN,CHS,MDW,745,0.0,,False,False,False,False,False
108,2015-07-15,WN,SNA,SFO,372,16.0,,False,False,False,False,False
109,2015-02-19,HA,HNL,KOA,163,0.0,,False,False,False,False,False
110,2015-02-11,US,RSW,CLT,600,0.0,,False,False,False,False,False
111,2015-04-14,OO,LAX,OAK,337,1615.0,Carrier,False,False,False,False,False
112,2015-08-05,MQ,LIT,ORD,552,0.0,,False,False,False,False,False
113,2015-05-21,DL,ATL,GRR,640,0.0,,False,False,False,False,False
114,2015-08-04,UA,IAH,MIA,964,3.0,,False,False,False,False,False
115,2015-12-04,B6,BOS,DEN,1754,0.0,,False,False,False,False,False
116,2015-07-29,EV,AGS,ATL,143,43.0,,False,False,False,False,True
117,2015-07-06,EV,TUL,IAH,429,1615.0,National Air System,False,False,False,False,False
118,2015-06-23,UA,PVD,ORD,849,48.0,,False,False,False,True,False
119,2015-03-12,UA,EWR,ATL,746,0.0,,False,False,False,False,False
120,2015-08-27,DL,ATL,MSY,425,59.0,,False,False,False,True,False
121,2015-11-02,DL,ATL,SRQ,444,0.0,,False,False,False,False,False
122,2015-02-19,UA,SLC,IAH,1195,0.0,,False,False,False,False,False
123,2015-04-10,DL,LGA,MSP,1020,57.0,,False,False,False,True,True
124,2015-08-08,WN,ATL,SFO,2139,0.0,,False,False,False,False,False
125,2015-02-08,EV,BRO,IAH,308,0.0,,False,False,False,False,False
126,2015-04-18,AA,DFW,OGG,3711,0.0,,False,False,False,False,False
127,2015-05-19,MQ,ORD,HPN,738,0.0,,False,False,False,False,False
128,2015-03-16,EV,MSP,IAH,1034,52.0,,False,False,False,True,False
129,2015-03-15,NK,DFW,SAN,1171,0.0,,False,False,False,False,False
130,2015-05-21,AA,LGA,MIA,1096,24.0,,False,False,False,False,False
131,2015-06-29,US,FLL,CLT,632,0.0,,False,False,False,False,False
132,2015-04-06,UA,IAH,PHX,1009,0.0,,False,False,False,False,False
133,2015-09-14,AA,LAX,DFW,1235,0.0,,False,False,False,False,False
134,2015-05-31,UA,DFW,SFO,1464,0.0,,False,False,False,False,False
135,2015-11-23,DL,SFO,ATL,2139,5.0,,False,False,False,False,False
136,2015-04-02,MQ,GRR,ORD,137,0.0,,False,False,False,False,False
137,2015-12-17,OO,SBA,PDX,784,45.0,,True,False,False,True,True
138,2015-11-26,WN,SAN,SMF,480,0.0,,False,False,False,False,False
139,2015-12-18,WN,MDW,ONT,1706,4.0,,False,False,False,False,False
140,2015-01-19,UA,ORD,EWR,719,0.0,,False,False,False,False,False
141,2015-04-20,HA,OGG,LIH,201,0.0,,False,False,False,False,False
142,2015-07-13,OO,DEN,FSD,483,75.0,,False,False,False,True,False
143,2015-06-12,WN,MDW,OAK,1844,39.0,,False,False,False,True,True
144,2015-05-21,UA,EWR,MSY,1167,41.0,,False,False,False,False,False
145,2015-03-21,OO,LAX,AUS,1242,0.0,,False,False,False,False,False
146,2015-12-16,AA,CLT,RIC,257,0.0,,False,False,False,False,False
147,2015-01-23,DL,BUF,ATL,712,0.0,,False,False,False,False,False
148,2015-01-18,B6,JFK,MCO,944,0.0,,False,False,False,False,False
